LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.8 on Fri Jul 02 21:08:39 CEST 2021
 1380 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 10 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.444700 26.558700  xlo xhi
 0.314250 45.544250  ylo yhi
 -0.401771 27.265229  zlo zhi

# Pair Coeffs
#
# 1  CH4
# 2  Ca
# 3  Cb
# 4  Cc
# 5  Cd
# 6  H
# 7  Mg
# 8  Oa
# 9  Ob
# 10  Oc

 Masses

 1 16.040001 # CH4
 2 12.011000 # Ca
 3 12.011000 # Cb
 4 12.011000 # Cc
 5 12.011000 # Cd
 6 1.008000 # H
 7 24.305000 # Mg
 8 15.999000 # Oa
 9 15.999000 # Ob
 10 15.999000 # Oc

 Atoms # full

1 1 1 0.000000 2.0 44.0 1.0 # CH4
2 2 1 0.000000 2.0 30.0 1.0 # CH4
3 3 1 0.000000 2.0 15.0 1.0 # CH4
4 4 1 0.000000 13.0 37.0 1.0 # CH4
5 5 1 0.000000 13.0 22.0 1.0 # CH4
6 6 1 0.000000 13.0 7.0 1.0 # CH4
7 7 1 0.000000 2.0 44.0 2.0 # CH4
8 8 1 0.000000 2.0 30.0 2.0 # CH4
9 9 1 0.000000 2.0 15.0 2.0 # CH4
10 10 1 0.000000 13.0 37.0 2.0 # CH4
11 11 1 0.000000 13.0 22.0 2.0 # CH4
12 12 1 0.000000 13.0 7.0 2.0 # CH4
13 13 1 0.000000 2.0 44.0 3.0 # CH4
14 14 1 0.000000 2.0 30.0 3.0 # CH4
15 15 1 0.000000 2.0 15.0 3.0 # CH4
16 16 1 0.000000 13.0 37.0 3.0 # CH4
17 17 1 0.000000 13.0 22.0 3.0 # CH4
18 18 1 0.000000 13.0 7.0 3.0 # CH4
19 19 1 0.000000 2.0 44.0 4.0 # CH4
20 20 1 0.000000 2.0 30.0 4.0 # CH4
21 21 1 0.000000 2.0 15.0 4.0 # CH4
22 22 1 0.000000 13.0 37.0 4.0 # CH4
23 23 1 0.000000 13.0 22.0 4.0 # CH4
24 24 1 0.000000 13.0 7.0 4.0 # CH4
25 25 1 0.000000 2.0 44.0 5.0 # CH4
26 26 1 0.000000 2.0 30.0 5.0 # CH4
27 27 1 0.000000 2.0 15.0 5.0 # CH4
28 28 1 0.000000 13.0 37.0 5.0 # CH4
